Question	Comment
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Citizen forums 
Citizen Training for public website "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Having the opportunity to remote work for all positions who's main job is over the computer. No point in coming into the office wasting resources and producing carbon emissions, which contradicts the climate change initiative. (Epi dept) 
"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Make it easily accessible 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Create commuter rail services 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Improving our access to convenient transportation. Preparing our city to become more resilient to the environmental effects of global warming. Improving public health services in general. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	User friendly City website. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	I'd like technology to be used to provide improved access to services and better management of resources to ensure sustainability and scalability of our city.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More qr codes. Uploading city documents (i.e. tax exemption) online
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"We can order passports online, birth certificates and social security online by being able to upload required documentation online "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Increased access to government services. ie dmv offices, tax collection offices, and lower wait times."
